window,role,n_msas,alpha_coef,se_hc1,t_stat,p_value,sig,pct_change_approx
2015-2016,Pre-gAI,203,0.01848118606469922,0.013868700223566129,1.3325824170094476,0.18266887846275737,ns,1.8653020117276098
2016-2017,Pre-gAI,202,-0.007385956094114051,0.014963949139497418,-0.49358334656583286,0.6216004643767477,ns,-0.7358746950127171
2017-2018,Pre-gAI,175,-0.012429838004354791,0.012543412321836814,-0.990945500748285,0.3217121927969555,ns,-1.2352906645946793
2021-2022,Pre-gAI recovery period (Supplementary),352,0.011496619320791202,0.01682850614096515,0.68316339100387,0.4945036027341979,ns,1.156295943395258
2022-2023,Early gAI diffusion,361,-0.0248472905382784,0.017808021071872862,-1.3952864519867294,0.16292947587776074,ns,-2.4541137547209657
2023-2024,Broader gAI diffusion,332,-0.08778756238034485,0.011418431144656538,-7.688233284256974,1.491806192030108e-14,***,-8.404456055036047
