year,total_nonmgr,total_mgr,n_msas,nonmgr_mgr_ratio
2015,141940,169880,198,0.835530963032729
2016,135050,174090,198,0.7757481762306853
2017,127980,181390,198,0.7055515739566679
2018,118690,190800,198,0.6220649895178197
2021,92290,309180,145,0.2984992560967721
2022,78910,335390,145,0.23527833268731924
2023,71840,364470,145,0.1971081296128625
2024,66400,392590,145,0.16913319238900634
