window,role,n_msas,alpha_coef,se_hc1,t_stat,p_value,sig,pct_change_approx
2015-2016,Pre-gAI,272,-0.10605319774272345,0.02134816606584191,-4.967789617882618,6.772037350926354e-07,***,-10.062319801244024
2016-2017,Pre-gAI,262,-0.14753918926939164,0.021057409990821067,-7.006521188204249,2.443165768742055e-12,***,-13.717137596458496
2017-2018,Pre-gAI,215,-0.14231029614795673,0.02768510931563714,-5.140319098092809,2.7427227661853044e-07,***,-13.264792128328672
2021-2022,Pre-gAI recovery period (Supplementary),210,-0.2228406098898702,0.03524864326987046,-6.3219627542472825,2.5826163837731474e-10,***,-19.975761014741856
2022-2023,Early gAI diffusion,196,-0.213966100626971,0.05409067990387906,-3.9556925704612307,7.631324710561391e-05,***,-19.262424590935577
2023-2024,Broader gAI diffusion,170,-0.15643150692069324,0.042784671064128796,-3.65625124676598,0.0002559305242147074,***,-14.480990970034458
