window,role,n,parallel_growth_share,ratio_compression_share,ratio_expansion_share,parallel_contraction_share,n_parallel_growth,n_ratio_compression,n_ratio_expansion,n_parallel_contraction
2015-2016,Pre-gAI,272,0.2103809272455353,0.459100906131785,0.08904724201636316,0.24147092460631653,48,84,43,97
2016-2017,Pre-gAI,262,0.1503508739616525,0.5374357651999337,0.07546092498112096,0.23675243585729283,52,105,41,64
2017-2018,Pre-gAI,215,0.1619369298273304,0.5345497016951293,0.09940339025853089,0.20410997821900945,49,71,27,68
2021-2022,Pre-gAI recovery period (Supplementary),210,0.10410964338133206,0.7483240112658177,0.04185013288904756,0.10571621246380261,35,109,14,52
2022-2023,Early gAI diffusion,196,0.3211492657677088,0.574032745072298,0.02053599894975713,0.08428199021023612,38,99,19,40
2023-2024,Broader gAI diffusion,170,0.3206851176737062,0.3826606553487068,0.05623746144055914,0.24041676553702784,45,74,24,27
