window,role,n,parallel_growth_share,ratio_compression_share,ratio_expansion_share,parallel_contraction_share,n_parallel_growth,n_ratio_compression,n_ratio_expansion,n_parallel_contraction
2015-2016,Pre-gAI,203,0.5403800298062593,0.12076751117734724,0.23932935916542475,0.0995230998509687,69,36,50,48
2016-2017,Pre-gAI,202,0.4221031325856617,0.2874790212560595,0.20226750509612407,0.0881503410621547,82,43,47,30
2017-2018,Pre-gAI,175,0.5993431038343825,0.13962775883948345,0.12913981437706834,0.13188932294906566,72,32,34,37
2021-2022,Pre-gAI recovery period (Supplementary),352,0.7483253415580348,0.10526252379460736,0.07710657574516276,0.06930555890219513,167,55,78,52
2022-2023,Early gAI diffusion,361,0.6851160759206736,0.21229813183836171,0.04304124993780166,0.059544542303162994,145,80,60,76
2023-2024,Broader gAI diffusion,332,0.427584851632464,0.28541590634737934,0.025400746750512338,0.2615984952696443,113,97,51,71
