year,total_nonmgr,total_mgr,n_msas,nonmgr_mgr_ratio
2015,545100,161540,139,3.374396434319673
2016,575140,165690,139,3.4711811213712354
2017,597330,172490,139,3.4629833613542815
2018,625590,181530,139,3.44620723847298
2021,1101830,387540,317,2.843138772771843
2022,1214760,426360,317,2.8491415705037997
2023,1300420,466490,317,2.7876696177838753
2024,1272610,500810,317,2.5411034124717955
